test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1-DC1,NTP,Synchronised with NTP server,NTP,PASS,
2,leaf2-DC1,NTP,Synchronised with NTP server,NTP,PASS,
3,leaf3-DC1,NTP,Synchronised with NTP server,NTP,PASS,
4,leaf4-DC1,NTP,Synchronised with NTP server,NTP,PASS,
5,spine1-DC1,NTP,Synchronised with NTP server,NTP,PASS,
6,spine2-DC1,NTP,Synchronised with NTP server,NTP,PASS,
7,spine3-DC1,NTP,Synchronised with NTP server,NTP,PASS,
8,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2-DC1_Ethernet1,PASS,
9,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2-DC1_Ethernet2,PASS,
10,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet2,PASS,
11,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet2,PASS,
12,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet2,PASS,
13,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1-DC1_Ethernet1,PASS,
14,leaf1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1-DC1_Ethernet2,PASS,
15,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1-DC1_Ethernet1,PASS,
16,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1-DC1_Ethernet2,PASS,
17,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet3,PASS,
18,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet3,PASS,
19,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet3,PASS,
20,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - host1-DC1_Ethernet3,PASS,
21,leaf2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1-DC1_Ethernet4,PASS,
22,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4-DC1_Ethernet1,PASS,
23,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4-DC1_Ethernet2,PASS,
24,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet4,PASS,
25,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet4,PASS,
26,leaf3-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet4,PASS,
27,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3-DC1_Ethernet1,PASS,
28,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3-DC1_Ethernet2,PASS,
29,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1-DC1_Ethernet5,PASS,
30,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2-DC1_Ethernet5,PASS,
31,leaf4-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3-DC1_Ethernet5,PASS,
32,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC1_Ethernet3,PASS,
33,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC1_Ethernet3,PASS,
34,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3-DC1_Ethernet3,PASS,
35,spine1-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4-DC1_Ethernet3,PASS,
36,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1-DC1_Ethernet4,PASS,
37,spine2-DC1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2-DC1_Ethernet4,PASS,
